#standard_name	order (g=galliformes, a=anseriformes, o=other)
poultry	o
domestic_bird	o
chicken	g
rooster	g
silkie_chicken	g
Common_moorhen	o
American_black_duck	a
Northern_pintail	a
mallard	a
baikal_teal	a
black-necked_grebe	o
cascade_duck	a
common_goldeneye	a
common_pochard	a
Eurasian_teal	a
duck	a
green-winged_teal	a
Gadwall	a
Goldeneye	a
goosander	a
greater_scaup	a
Mandarin_duck	a
smew	a
Muscovy_duck	a
Peking_duck	a
American_Pekin_duck	a
red-chested_pochard	a
Ruddy_shelduck	a
teal	a
Tufted_duck	a
Wood_duck	a
yellow-billed_duck	a
american_buff_goose	a
swan_goose	a
greater_white-fronted_goose	a
greylag_goose	a
domestic_goose	a
goose	a
bar-headed_goose	a
barnacle_goose	a
bean_goose	a
black-headed_goose	a
brent_goose	a
canada_goose	a
whooper_swan	a
mute_swan	a
embden_goose	a
grey_goose	a
sebastopol_goose	a
snow_goose	a
tundra_swan	a
swan	a
common_pheasant	g
fowl	o
golden_pheasant	g
green_peafowl	g
guinea_fowl	g
kalij_pheasant	g
peafowl	g
pheasant	g
quail	g
silver_pheasant	g
turkey	g
waterfowl	a
white_peafowl	g
bird	o
egg	o
environment	o
american_blue-winged_teal	a
American_green_winged_teal	a
American_wigeon	a
arctic_tern	o
Grey_heron	o
Old_World_babbler	o
bald_eagle	o
barn_swallow	o
Black-crowned_night_heron	o
black-headed_gull	o
black_swan	a
common_blackbird	o
black_bulbul	o
black_vulture	o
blue_magpie	o
blue-winged_teal	a
brown-headed_gull	o
common_buzzard	o
buzzard	o
cattle_egret	o
caspian_gull	o
crow	o
chestnut_munia	o
Chinese_pond_heron	o
chukar	g
white_stork	o
common_coot	o
common_crane	o
common_gull	o
common_kestrel	o
common_green_magpie	o
common_myna	o
common_tern	o
condor	o
Coopers_hawk	o
coot	o
cormorant	o
crested_eagle	o
crested_goshawk	o
crested_myna	o
curlew	o
dalmatian_pelican	o
daurian_starling	o
dove	o
eagle	o
Eurasian_eagle-owl	o
egret	o
emu	o
Eurasian_coot	o
Eurasian_curlew	o
Eurasian_sparrowhawk	o
Eurasian_spoonbill	o
European_herring_gull	o
Eurasian_wigeon	a
falcon	o
peregrine_falcon	o
pigeon	o
golden_mountain_thrush	o
golden_eagle	o
common_raven	o
gadwall	a
Northern_goshawk	o
grey_crowned_crane	o
grey_heron	o
great_black-backed_gull	o
great_cormorant	o
great_crested_grebe	o
great_egret	o
great_barbet	o
great_horned_owl	o
great_tit	o
great_white_pelican	o
grebe	o
green_heron	o
gull	o
hawk	o
heron	o
herring_gull	o
common_hill_myna	o
houbara_bustard	o
hooded_crane	o
hooded_vulture	o
house_crow	o
house_sparrow	o
Japanese_white-eye	o
kestrel	o
large-billed_crow	o
lesser_black-backed_gull	o
lesser_kestrel	o
little_cuckoo-dove	o
little_egret	o
little_grebe	o
little_owl	o
long-tailed_shrike	o
magpie	o
Oriental_magpie-robin	o
magpie-robin	o
marabou_stork	o
migratory_bird	o
moorhen	o
mountain_hawk-eagle	o
munia	o
myna	o
ngan	o
northern_goshawk	o
northern_gannet	o
northern_shoveler	a
open-billed_stork	o
open-billed_ibis	o
ostrich	o
oystercatcher	o
owl	o
parrot	o
partridge	g
peaceful_dove	o
peacock	g
pelican	o
Dalmatian_pelican	o
Australian_pelican	o
Peruvian_pelican	o
phalacrocorax	o
Australian_magpie	o
read-breasted_starling	o
red-tailed_hawk	o
rhea	o
robin	o
roller	o
rook	o
ruddy_turnstone	o
saker_falcon	o
sanderling	o
sandwich_tern	o
scaly-breasted_munia	o
shorebird	o
shrike	o
silver-eared_mesia	o
slaty-backed_gull	o
snowy_owl	o
song_thrush	o
sparrow	o
spur-winged_lapwing	o
starling	o
stone_curlew	o
stork	o
swallow	o
swiftlet	o
tree_sparrow	o
turtle_dove	o
vulture	o
watercock	o
white-backed_munia	o
white-tailed_eagle	o
